programa        -> PROGRAMA
test            -> IDENTIFICADOR
;               -> PONTO_E_VIRGULA
var             -> VAR
v               -> IDENTIFICADOR
:               -> DOIS_PONTOS
inteiro         -> INTEIRO
;               -> PONTO_E_VIRGULA
i               -> IDENTIFICADOR
,               -> VIRGULA
max             -> IDENTIFICADOR
,               -> VIRGULA
juro            -> IDENTIFICADOR
,               -> VIRGULA
:               -> DOIS_PONTOS
inteiro         -> INTEIRO
;               -> PONTO_E_VIRGULA
inicio          -> INICIO
enquanto        -> ENQUANTO
v               -> IDENTIFICADOR
!=              -> OP_DIF
-               -> OP_SUB
1               -> NUMERO_INTEIRO
faca            -> FACA
inicio          -> INICIO
leia            -> LEIA
(               -> ABRE_PARENTESE
v               -> IDENTIFICADOR
)               -> FECHA_PARENTESE
;               -> PONTO_E_VIRGULA
leia            -> LEIA
(               -> ABRE_PARENTESE
juro            -> IDENTIFICADOR
)               -> FECHA_PARENTESE
;               -> PONTO_E_VIRGULA
;               -> PONTO_E_VIRGULA
leia            -> LEIA
(               -> ABRE_PARENTESE
max             -> IDENTIFICADOR
)               -> FECHA_PARENTESE
;               -> PONTO_E_VIRGULA
valor           -> IDENTIFICADOR
:=              -> ATRIBUICAO
1               -> NUMERO_INTEIRO
;               -> PONTO_E_VIRGULA
i               -> IDENTIFICADOR
:=              -> ATRIBUICAO
1               -> NUMERO_INTEIRO
;               -> PONTO_E_VIRGULA
enquanto        -> ENQUANTO
i               -> IDENTIFICADOR
<=              -> OP_MENOR_IGUAL
max             -> IDENTIFICADOR
faca            -> FACA
inicio          -> INICIO
valor           -> IDENTIFICADOR
:=              -> ATRIBUICAO
valor           -> IDENTIFICADOR
*               -> OP_MULT
(               -> ABRE_PARENTESE
1               -> NUMERO_INTEIRO
+               -> OP_SOMA
juro            -> IDENTIFICADOR
)               -> FECHA_PARENTESE
;               -> PONTO_E_VIRGULA
i               -> IDENTIFICADOR
:=              -> ATRIBUICAO
i               -> IDENTIFICADOR
+               -> OP_SOMA
1               -> NUMERO_INTEIRO
fim             -> FIM
;               -> PONTO_E_VIRGULA
escreva         -> ESCREVA
(               -> ABRE_PARENTESE
valor           -> IDENTIFICADOR
)               -> FECHA_PARENTESE
fim             -> FIM
fim             -> FIM
.               -> PONTO
